experiment,halogen_X,n_octahedra,molecule_number,molecule_key,molecule_formula,n1_to_low_plane,low_plane_to_high_plane,high_plane_to_n2,total_length,penetration_percentage,penetration_asymmetry
MAPbI3_n3_[NH3+]CCCCC[NH3+]_analysis,I,3,1,molecule_0,C5H16N2,0.7146543180994573,5.8406117521926895,0.7221954662268927,7.2774615365190405,24.601015189666157,-0.007541148127435338
MAPbI3_n3_[NH3+]CCCCC[NH3+]_analysis,I,3,2,molecule_5,C5H16N2,0.7064847611893402,5.835298827233256,0.7356576575983874,7.277441246020984,24.71411424651073,-0.02917289640904719
MAPbI3_n2_[NH3+]CCCCCC[NH3+]_analysis,I,2,1,molecule_1,C6H18N2,0.4098398496012232,6.677295241640912,0.6628768676966721,7.750011958938806,16.065138330386013,-0.2530370180954489
MAPbI3_n2_[NH3+]CCCCCC[NH3+]_analysis,I,2,2,molecule_3,C6H18N2,1.6094436613807421,7.903246494146886,1.4972750601540283,11.009965215681657,39.30939929351304,0.1121686012267138
MAPbI3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,I,1,1,molecule_0,C5H16N2,0.007802432474841833,8.456394754820419,0.539479208505551,8.98807153085113,6.471808103192256,-0.5316767760307092
MAPbI3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,I,1,2,molecule_1,C5H16N2,0.035207076565341514,8.737669149846383,0.5408700281672516,9.313746254578975,6.593029500810535,-0.5056629516019101
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,3,1,molecule_1,C10H18N2,0.8236140102526157,9.6467601397239,1.1159367085719256,11.586310858548442,20.105721410422184,-0.2923226983193099
MAPbCl3_n3_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,3,2,molecule_2,C10H18N2,0.19474139596377368,7.860250471575413,0.1356157114175435,8.190607578956731,4.202882701715031,0.059125684546230184
MAPbCl3_n1_[NH3+]C1CCC([NH3+])CC1_analysis,Cl,1,1,molecule_0,C6H16N2,0.6378943595579413,6.712301381950682,0.6478296452533834,7.998025386762007,19.154741893274117,-0.009935285695442109
MAPbCl3_n1_[NH3+]C1CCC([NH3+])CC1_analysis,Cl,1,2,molecule_1,C6H16N2,0.4507382539146349,6.977642006260273,0.0973378736164235,7.525718133791331,7.854747019685587,0.3534003802982114
MAPbBr3_n2_[NH3+]CCCCCC[NH3+]_analysis,Br,2,1,molecule_1,C6H18N2,0.4640086332192755,8.034587637817618,0.86300518758476,9.361601458621653,16.516265434183296,-0.3989965543654845
MAPbBr3_n2_[NH3+]CCCCCC[NH3+]_analysis,Br,2,2,molecule_3,C6H18N2,0.7842637755309938,8.082530758943506,0.5583976807591265,9.425192215233626,16.61189417441356,0.22586609477186725
MAPbCl3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Cl,3,1,molecule_1,C8H14N2,0.7962934224847508,8.645816476912376,0.6037769435439989,10.045886842941126,16.193616528496424,0.19251647894075186
MAPbCl3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Cl,3,2,molecule_3,C8H14N2,0.5989352575326502,6.05240878652495,0.5396867048253147,7.191030748882914,18.812707510652398,0.05924855270733553
MAPbBr3_n2_[NH3+]CCCCCCC[NH3+]_analysis,Br,2,1,molecule_1,C7H20N2,0.6529397847423378,8.827848787451616,0.785865518116307,10.266654090310261,16.298481515721484,-0.13292573337396918
MAPbBr3_n2_[NH3+]CCCCCCC[NH3+]_analysis,Br,2,2,molecule_2,C7H20N2,0.5481286676824378,8.682230694465932,1.0759553687669163,10.306314730915286,18.70583832199423,-0.5278267010844785
MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C_analysis,Br,1,1,molecule_0,C12H22N2,0.1368354362487205,10.902220775589441,0.08427314399557226,10.849658483336293,2.028105876734442,0.052562292253148235
MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C_analysis,Br,1,2,molecule_1,C12H22N2,0.13348922386182396,10.916636521814109,0.0810396041791286,10.864186902131413,1.965154996342248,0.05244961968269536
MAPbI3_n2_[NH3+]CCCCC[NH3+]_analysis,I,2,1,molecule_0,C5H16N2,0.7569176558250597,5.710247570166711,0.7538152534054284,7.220980479397198,26.456522080116784,0.0031024024196312228
MAPbI3_n2_[NH3+]CCCCC[NH3+]_analysis,I,2,2,molecule_1,C5H16N2,0.7614840536693992,5.709836088804646,0.7494123956536433,7.220732538127689,26.461292860673847,0.012071658015755937
MAPbI3_n3_CC(C)(CC[NH3+])CC[NH3+]_analysis,I,3,1,molecule_0,C7H20N2,0.6135598602913376,6.036613709848794,0.6238848883437528,7.274058458483885,20.498988474551343,-0.010325028052415197
MAPbI3_n3_CC(C)(CC[NH3+])CC[NH3+]_analysis,I,3,2,molecule_5,C7H20N2,0.6029057493026304,6.041970202521204,0.6288098372217547,7.273685789045589,20.385992403776047,-0.02590408791912424
MAPbCl3_n1_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,1,1,molecule_0,C9H24N2,0.015797658820076225,10.06615391581681,0.569907094042624,9.512044480594264,5.818555505518253,-0.5541094352225477
MAPbCl3_n1_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,1,2,molecule_1,C9H24N2,1.31900840820485,9.82183051868711,1.3615594225279681,12.502398349419929,27.291937339304972,-0.04255101432311803
MAPbBr3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N_analysis,Br,1,1,molecule_0,C14H34N2,0.0024688414000555714,15.663925751169629,0.007505082194884245,15.658889510374802,0.06367448207672372,-0.005036240794828673
MAPbBr3_n1_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N_analysis,Br,1,2,molecule_1,C14H34N2,0.015336548030349818,12.01972018203677,0.016949457731182397,12.0520061877983,0.2686086304220543,-0.0016129097008325786
MAPbI3_n3_[NH3+]CCC[NH3+]_analysis,I,3,1,molecule_0,C3H12N2,0.4780592506305308,3.9353212718306336,0.46931809959441123,4.8826986220555755,24.07369779454476,0.008741151036119554
MAPbI3_n3_[NH3+]CCC[NH3+]_analysis,I,3,2,molecule_5,C3H12N2,0.46671827938460936,3.935669947125693,0.48050244601098885,4.882890672521291,24.067585395146626,-0.01378416662637949
MAPbI3_n1_[NH3+]CCCCCCC[NH3+]_analysis,I,1,1,molecule_0,C7H20N2,0.5923487324077269,8.64815595550095,0.5551732000510954,9.795677887959773,13.268978246500081,0.03717553235663151
MAPbI3_n1_[NH3+]CCCCCCC[NH3+]_analysis,I,1,2,molecule_1,C7H20N2,0.5575066972105008,8.64795996605832,0.5919350767388306,9.79740174000765,13.291478897458852,-0.03442837952832978
MAPbBr3_n2_CC(C)(CCC[NH3+])CCC[NH3+]_analysis,Br,2,1,molecule_1,C9H24N2,0.43279920826449286,10.8032922688015,1.2684011284217835,12.504492605487775,15.747054641843963,-0.8356019201572906
MAPbBr3_n2_CC(C)(CCC[NH3+])CCC[NH3+]_analysis,Br,2,2,molecule_2,C9H24N2,0.5063417691470296,9.47439919358416,0.5145869748509747,10.495327937582166,10.775656832037994,-0.008245205703945158
MAPbBr3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Br,3,1,molecule_1,C8H14N2,0.7974751778109764,9.291672818764646,0.890333971475287,10.979481968050909,18.164750117736737,-0.0928587936643106
MAPbBr3_n3_[NH3+]CC1=CC=C(C[NH3+])C=C1_analysis,Br,3,2,molecule_3,C8H14N2,0.43375347226564664,8.956577389776806,0.8647512049530255,10.255082066995477,14.49777767454796,-0.43099773268737884
MAPbCl3_n3_[NH3+]CCCC[NH3+]_analysis,Cl,3,1,molecule_1,C4H14N2,0.8267005531278825,7.721446386324785,0.9260358269953303,9.474182766447997,22.69958622295727,-0.09933527386744778
MAPbCl3_n3_[NH3+]CCCC[NH3+]_analysis,Cl,3,2,molecule_5,C4H14N2,0.736628568292612,7.716717086409006,0.48021346864551806,8.933559123347136,15.76890824572643,0.25641509964709397
MAPbCl3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Cl,2,1,molecule_0,C10H24N2,0.735375212837553,9.364168507424747,0.572781855023349,10.672325575285647,13.969815545541268,0.16259335781420403
MAPbCl3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Cl,2,2,molecule_1,C10H24N2,0.4627081132718888,7.2312212750208475,0.7035467907103004,8.397476179003037,16.12804890939846,-0.24083867743841153
MAPbBr3_n1_[NH3+]CC1CCC(C[NH3+])CC1_analysis,Br,1,1,molecule_0,C8H20N2,0.022692046552930337,5.895556814540181,0.5568796244410528,6.475128485534165,9.830651950712925,-0.5341875778881224
MAPbBr3_n1_[NH3+]CC1CCC(C[NH3+])CC1_analysis,Br,1,2,molecule_1,C8H20N2,0.14079145584084415,9.374235040199368,0.4094829693878154,9.924509465428025,5.870072841879122,-0.2686915135469713
MAPbBr3_n2_[NH3+]CCCCCCCC[NH3+]_analysis,Br,2,1,molecule_1,C8H22N2,0.4268231447172143,9.911526324079471,0.45596168867925674,10.794311157475942,8.906648729285994,-0.029138543962042462
MAPbBr3_n2_[NH3+]CCCCCCCC[NH3+]_analysis,Br,2,2,molecule_2,C8H22N2,0.5952347156660098,10.303873678279029,0.6122839600338058,11.511392353978843,11.719074916895696,-0.01704924436779598
MAPbCl3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,1,1,molecule_0,C10H18N2,0.16865782398702117,8.919540347481885,0.04386995137752121,8.794752474872384,2.3827211614614425,0.12478787260949996
MAPbCl3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,1,2,molecule_1,C10H18N2,0.888470299751301,9.766029438424432,0.7090189348078998,11.363518672983632,16.357612319638122,0.1794513649434012
MAPbBr3_n3_[NH3+]C1=CC=C([NH3+])C=C1_analysis,Br,3,1,molecule_1,C6H10N2,0.13333230334735977,8.047458072769457,0.3064573682014445,8.48724774431826,5.464951386785601,-0.17312506485408471
MAPbBr3_n3_[NH3+]C1=CC=C([NH3+])C=C1_analysis,Br,3,2,molecule_5,C6H10N2,0.2160135895771018,9.13980503005295,0.04410133352670472,9.399919953156756,2.8459570225897868,0.17191225605039706
MAPbCl3_n1_CC(C)(CC[NH3+])CC[NH3+]_analysis,Cl,1,1,molecule_0,C7H20N2,0.39229630235185614,6.51022367977375,0.4626499682663098,7.365169950391916,13.132363996560528,-0.07035366591445363
MAPbCl3_n1_CC(C)(CC[NH3+])CC[NH3+]_analysis,Cl,1,2,molecule_1,C7H20N2,0.6664371745934202,6.47342732875868,0.2454065457898615,7.385271049141961,14.085949746162264,0.4210306288035587
MAPbCl3_n3_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3_analysis,Cl,3,1,molecule_0,C12H30N2,0.3303300662661881,10.196901424179812,0.1836203424064468,10.710851832852446,5.040260636960847,0.1467097238597413
MAPbCl3_n3_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3_analysis,Cl,3,2,molecule_4,C12H30N2,0.36134754390675083,11.51411866881738,0.08936760342706795,11.242138728337695,3.914456332245809,0.2719799404796829
MAPbCl3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+]_analysis,Cl,2,1,molecule_1,C11H28N2,0.3667426757060485,10.800366797903225,0.22946603243527924,11.396575506044552,5.520263517874923,0.13727664327076927
MAPbCl3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+]_analysis,Cl,2,2,molecule_2,C11H28N2,0.35381677834689707,11.102264073253284,0.8480590414798559,12.304139893080038,10.825502004786747,-0.4942422631329588
MAPbBr3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,Br,1,1,molecule_0,C5H16N2,0.12434338414042788,7.974330588468581,0.5171013629332788,8.367088567261431,8.043869513025696,-0.3927579787928509
MAPbBr3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,Br,1,2,molecule_1,C5H16N2,0.0967654784011878,8.37467614303199,0.542070006023342,8.819980670654143,7.628181359061415,-0.4453045276221542
MAPbI3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,I,3,1,molecule_0,C5H16N2,0.23951989543181373,8.190493189906093,0.6375203941443067,9.067533479482213,10.70802782251231,-0.398000498712493
MAPbI3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,I,3,2,molecule_5,C5H16N2,0.513817906490748,8.177052059365764,0.46980212348354233,8.22106784237297,12.029029812127462,0.044015783007205656
MAPbI3_n2_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,I,2,1,molecule_0,C12H28N2,0.8636748350942562,12.630823567215103,0.5377489762852846,14.032247378594644,11.09526868079381,0.3259258588089716
MAPbI3_n2_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,I,2,2,molecule_3,C12H28N2,0.6086390653950065,10.057814327267247,0.7156483440395272,11.382101736701781,13.166751406857086,-0.1070092786445207
MAPbI3_n2_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C_analysis,I,2,1,molecule_0,C12H22N2,0.7670679436669533,10.55500639375557,0.5494273158860814,11.871501653308604,12.472709257020293,0.2176406277808719
MAPbI3_n2_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C_analysis,I,2,2,molecule_3,C12H22N2,0.8754316454994006,8.98433551146382,0.35003292366917793,10.2098000806324,13.640013416739746,0.5253987218302226
MAPbI3_n2_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,I,2,1,molecule_1,C10H18N2,0.4541024071041737,8.854301374732003,0.21916773400935022,9.089236047826827,7.603876495946604,0.2349346730948235
MAPbI3_n2_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,I,2,2,molecule_3,C10H18N2,0.9170334106761804,10.97617235145001,0.48281341289767316,11.410392349228518,12.753506220125328,0.4342199977785072
MAPbI3_n2_CC(C)(C[NH3+])C(C)(C)C[NH3+]_analysis,I,2,1,molecule_0,C8H22N2,0.9481671793375962,8.824064732588917,0.2698399226026211,10.042071834529134,13.803243050131872,0.6783272567349752
MAPbI3_n2_CC(C)(C[NH3+])C(C)(C)C[NH3+]_analysis,I,2,2,molecule_1,C8H22N2,0.04941066383844382,5.522644416548492,0.7913075641742634,6.3633626445611995,15.223109883618655,-0.7418969003358196
MAPbBr3_n3_[NH3+]CCCCCCCC[NH3+]_analysis,Br,3,1,molecule_2,C8H22N2,0.6083311096445185,9.684963737292653,0.6821016858310455,10.975396532768217,13.324084947336038,-0.07377057618652694
MAPbBr3_n3_[NH3+]CCCCCCCC[NH3+]_analysis,Br,3,2,molecule_4,C8H22N2,0.4064703728668113,9.426160911480077,0.6749399981542908,10.507571282501178,11.472436988679641,-0.26846962528747953
MAPbI3_n1_[NH3+]CCCCCC[NH3+]_analysis,I,1,1,molecule_0,C6H18N2,0.26346888610769903,7.969893378186324,0.2204414363504284,8.453803700644452,6.071728936582699,0.04302744975727063
MAPbI3_n1_[NH3+]CCCCCC[NH3+]_analysis,I,1,2,molecule_1,C6H18N2,1.468240964209146,7.927200681444065,1.689069964986028,11.084511610639238,39.82882553466553,-0.22082900077688183
MAPbCl3_n3_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,3,1,molecule_2,C9H24N2,0.49527694567109326,12.43886974928885,0.3179946185486481,13.252141313508591,6.538146797993743,0.17728232712244518
MAPbCl3_n3_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,3,2,molecule_4,C9H24N2,0.4444569384036889,11.42755666638855,0.5902592922926863,12.462272897084926,9.054570989262714,-0.14580235388899737
MAPbI3_n3_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,3,1,molecule_0,C8H20N2,0.5679630890261547,5.151857783860563,0.5813647934231224,6.30118566630984,22.30899863054885,-0.01340170439696775
MAPbI3_n3_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,3,2,molecule_1,C8H20N2,0.8988153474938257,7.989964045777117,1.3144506860731882,10.20323007934413,27.70057563321298,-0.4156353385793624
MAPbI3_n3_[NH3+]CCCCCCC[NH3+]_analysis,I,3,1,molecule_0,C7H20N2,0.7359283593695605,8.211893265058134,0.7515666179598505,9.699388242387544,18.113910267912875,-0.01563825859029
MAPbI3_n3_[NH3+]CCCCCCC[NH3+]_analysis,I,3,2,molecule_5,C7H20N2,0.734485827578896,8.220751586480272,0.7478579559323327,9.703095369991502,18.031730650383228,-0.013372128353436707
MAPbBr3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,Br,3,1,molecule_1,C5H16N2,0.4228432279264828,7.268218300241872,1.174490515209389,8.865552043377743,21.976964328145122,-0.7516472872829061
MAPbBr3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,Br,3,2,molecule_5,C5H16N2,0.13101664997994747,7.402945063236068,1.2090766761875107,8.743038389403527,18.10216494544213,-1.0780600262075632
MAPbBr3_n2_CC(C)(CC[NH3+])CC[NH3+]_analysis,Br,2,1,molecule_1,C7H20N2,0.48202642417638736,6.302609777695205,0.5336423532503752,7.318278555121967,16.115050959067652,-0.051615929073987876
MAPbBr3_n2_CC(C)(CC[NH3+])CC[NH3+]_analysis,Br,2,2,molecule_3,C7H20N2,0.49722777227271303,6.310511571235856,0.5149648535835732,7.3227041970921425,16.039787177793855,-0.017737081310860214
MAPbI3_n1_[NH3+]C1=CC=C([NH3+])C=C1_analysis,I,1,1,molecule_0,C6H10N2,0.11833938457720145,7.568885472075079,0.19030584183755345,7.260240245660324,4.0778160477322825,-0.071966457260352
MAPbI3_n1_[NH3+]C1=CC=C([NH3+])C=C1_analysis,I,1,2,molecule_1,C6H10N2,0.8856195135468125,7.648755412081717,0.1065975043604017,8.640972429988931,12.972267571008238,0.7790220091864107
MAPbI3_n2_[NH3+]C1=CC=C([NH3+])C=C1_analysis,I,2,1,molecule_0,C6H10N2,0.839942608239641,7.813641321466628,0.6527791470096956,9.306363076715964,19.10404757316338,0.18716346122994532
MAPbI3_n2_[NH3+]C1=CC=C([NH3+])C=C1_analysis,I,2,2,molecule_1,C6H10N2,0.4591621752741449,7.677530725693115,0.4207325484871759,8.557425449454435,11.46064737737517,0.038429626786968984
MAPbI3_n1_[NH3+]CCCCCCCCC[NH3+]_analysis,I,1,1,molecule_0,C9H24N2,0.5308018775629583,9.239786486332873,0.20024616250308422,8.50873844626683,7.911958151277412,0.330555715059874
MAPbI3_n1_[NH3+]CCCCCCCCC[NH3+]_analysis,I,1,2,molecule_1,C9H24N2,1.649325083464437,8.45936896051107,2.2018315585763406,12.310525602551845,45.525341902194455,-0.5525064751119035
MAPbBr3_n3_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Br,3,1,molecule_1,C10H24N2,0.34373527747606686,8.519346930792135,0.9403510628673585,9.80343327113556,15.072591253470998,-0.5966157853912917
MAPbBr3_n3_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Br,3,2,molecule_4,C10H24N2,0.7456024701306365,9.23189579299344,1.0541425591095581,11.031640822233635,19.49485858155065,-0.3085400889789216
MAPbBr3_n2_[NH3+]C1=CC=C([NH3+])C=C1_analysis,Br,2,1,molecule_2,C6H10N2,0.34506413703965577,7.6918568499545295,0.4572816752531372,8.494202662247323,10.431106921829103,-0.1122175382134814
MAPbBr3_n2_[NH3+]C1=CC=C([NH3+])C=C1_analysis,Br,2,2,molecule_3,C6H10N2,0.31078319055923237,7.389920258420938,0.2065668904272918,7.907270339407462,7.000753227303029,0.10421630013194058
MAPbBr3_n1_[NH3+]CCC[NH3+]_analysis,Br,1,1,molecule_0,C3H12N2,0.3424444450177265,4.212801988446376,0.3634589670947205,4.9187054005588235,16.756149803584158,-0.021014522076994002
MAPbBr3_n1_[NH3+]CCC[NH3+]_analysis,Br,1,2,molecule_1,C3H12N2,0.33746877227953,4.212868889045242,0.33465229541417457,4.884989956738947,15.953999172426814,0.0028164768653554106
MAPbBr3_n2_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,Br,2,1,molecule_1,C12H28N2,0.39483214998651495,13.133359442910695,0.2655126391449888,13.7937042320422,5.027996012763921,0.12931951084152615
MAPbBr3_n2_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,Br,2,2,molecule_2,C12H28N2,0.391907804554276,11.684580214488948,0.22342811625174774,12.299916135294971,5.2662218882540905,0.16847968830252824
MAPbCl3_n3_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Cl,3,1,molecule_1,C10H24N2,0.6313355843722035,8.980102407497714,0.33145218732553416,9.942890179195453,10.721345125127769,0.29988339704666933
MAPbCl3_n3_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Cl,3,2,molecule_4,C10H24N2,0.7265899895878029,7.5007590633501895,0.48601272741180895,8.7133617803498,16.16640005042379,0.2405772621759939
MAPbBr3_n2_[NH3+]CCCC[NH3+]_analysis,Br,2,1,molecule_1,C4H14N2,0.509736606330895,6.479677482295838,1.0429538676447223,8.032367956271454,23.962465388408162,-0.5332172613138273
MAPbBr3_n2_[NH3+]CCCC[NH3+]_analysis,Br,2,2,molecule_3,C4H14N2,0.9099358390258901,6.420663655081643,0.6888744667264814,8.019473960834013,24.901013222939827,0.2210613722994087
MAPbCl3_n3_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,Cl,3,1,molecule_0,C12H28N2,0.5317140642891889,11.965209487323758,0.3828914120911103,12.879814963704058,7.643873492973566,0.1488226521980786
MAPbCl3_n3_[NH3+]CCCC1CCC(CCC[NH3+])CC1_analysis,Cl,3,2,molecule_3,C12H28N2,0.5728804456659226,12.477995495466967,0.03303628073684928,13.083912221869738,4.8558819132679645,0.5398441649290733
MAPbI3_n1_CC(C)(C[NH3+])C(C)(C)C[NH3+]_analysis,I,1,1,molecule_0,C8H22N2,0.5873220154093404,7.8967649530822275,0.5416579801861715,9.02574494867774,14.296740529865385,0.045664035223168864
MAPbI3_n1_CC(C)(C[NH3+])C(C)(C)C[NH3+]_analysis,I,1,2,molecule_1,C8H22N2,0.48747946604007564,9.325428244951436,0.43739994072976884,10.25030765172128,9.917822350630946,0.050079525310306794
MAPbI3_n2_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,2,1,molecule_1,C8H20N2,0.6757523560805582,8.262547928890672,1.2746025866391903,10.21290287161042,23.604764045000856,-0.5988502305586322
MAPbI3_n2_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,2,2,molecule_2,C8H20N2,0.5988501946667764,5.125518281759942,0.5703481010759501,6.294716577502669,22.8113184163936,0.028502093590826227
MAPbBr3_n3_CC(C)(CCC[NH3+])CCC[NH3+]_analysis,Br,3,1,molecule_2,C9H24N2,0.6276254766784937,9.751106557899089,1.1640130490903886,11.542745083667972,18.37369446360452,-0.5363875724118949
